source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,noteworthy_env_cond,replicate,size_frac_low,size_frac_up,depth,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON RFormosa SO 211220 micro(1),EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2021-12-20 00:00:00,RFormosa_So_211220,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,1,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2021-12-20 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-01-24 00:00:00,2022-02-02 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_RFormosa_So_11
EMO BON RFormosa SO 211220 micro(2),EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2021-12-20 00:00:00,RFormosa_So_211220,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,2,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2021-12-20 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-01-24 00:00:00,2022-02-02 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_RFormosa_So_12
EMO BON RFormosa SO 211220 micro(3),EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2021-12-20 00:00:00,RFormosa_So_211220,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,3,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2021-12-20 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_13
EMO BON RFormosa SO 211220 micro(4),EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2021-12-20 00:00:00,RFormosa_So_211220,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,4,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2021-12-20 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_14
EMO BON RFormosa SO 211220 blank,EMOBON metagenome sediment sample from station RFormosa collected on 2021-12-20 community collected micro,256318,metagenome,metagenome,NA,2021-12-20 00:00:00,RFormosa_So_211220,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,blank_1,NA,NA,NA,NA,SoSOP 1,NA,2021-12-20 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_15
EMO BON RFormosa SO 220224 micro(1),EMOBON metagenome sediment sample from station RFormosa collected on 2022-02-24 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-02-24 00:00:00,RFormosa_So_220224,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,1,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-02-24 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_16
EMO BON RFormosa SO 220224 micro(2),EMOBON metagenome sediment sample from station RFormosa collected on 2022-02-24 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-02-24 00:00:00,RFormosa_So_220224,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,2,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-02-24 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_17
EMO BON RFormosa SO 220224 micro(3),EMOBON metagenome sediment sample from station RFormosa collected on 2022-02-24 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-02-24 00:00:00,RFormosa_So_220224,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,3,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-02-24 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_18
EMO BON RFormosa SO 220224 micro(4),EMOBON metagenome sediment sample from station RFormosa collected on 2022-02-24 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-02-24 00:00:00,RFormosa_So_220224,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,4,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-02-24 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_19
EMO BON RFormosa SO 220224 blank,EMOBON metagenome sediment sample from station RFormosa collected on 2022-02-24 community collected micro,256318,metagenome,metagenome,NA,2022-02-24 00:00:00,RFormosa_So_220224,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,blank_1,NA,NA,NA,NA,SoSOP 1,NA,2022-02-24 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_20
EMO BON RFormosa SO 220428 micro(1),EMOBON metagenome sediment sample from station RFormosa collected on 2022-04-28 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-04-28 00:00:00,RFormosa_So_220428,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,1,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-04-28 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_21
EMO BON RFormosa SO 220428 micro(2),EMOBON metagenome sediment sample from station RFormosa collected on 2022-04-28 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-04-28 00:00:00,RFormosa_So_220428,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,2,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-04-28 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_22
EMO BON RFormosa SO 220428 micro(3),EMOBON metagenome sediment sample from station RFormosa collected on 2022-04-28 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-04-28 00:00:00,RFormosa_So_220428,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,3,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-04-28 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_23
EMO BON RFormosa SO 220428 micro(4),EMOBON metagenome sediment sample from station RFormosa collected on 2022-04-28 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-04-28 00:00:00,RFormosa_So_220428,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,4,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-04-28 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_24
EMO BON RFormosa SO 220428 blank,EMOBON metagenome sediment sample from station RFormosa collected on 2022-04-28 community collected micro,256318,metagenome,metagenome,NA,2022-04-28 00:00:00,RFormosa_So_220428,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,blank_1,NA,NA,NA,NA,SoSOP 1,NA,2022-04-28 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_25
EMO BON RFormosa SO 220629 micro(1),EMOBON metagenome sediment sample from station RFormosa collected on 2022-06-29 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-06-29 00:00:00,RFormosa_So_220629,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,1,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-06-29 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_26
EMO BON RFormosa SO 220629 micro(2),EMOBON metagenome sediment sample from station RFormosa collected on 2022-06-29 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-06-29 00:00:00,RFormosa_So_220629,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,2,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-06-29 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_27
EMO BON RFormosa SO 220629 micro(3),EMOBON metagenome sediment sample from station RFormosa collected on 2022-06-29 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-06-29 00:00:00,RFormosa_So_220629,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,3,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-06-29 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_28
EMO BON RFormosa SO 220629 micro(4),EMOBON metagenome sediment sample from station RFormosa collected on 2022-06-29 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-06-29 00:00:00,RFormosa_So_220629,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,4,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-06-29 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_29
EMO BON RFormosa SO 220629 blank,EMOBON metagenome sediment sample from station RFormosa collected on 2022-06-29 community collected micro,256318,metagenome,metagenome,NA,2022-06-29 00:00:00,RFormosa_So_220629,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,blank_1,NA,NA,NA,NA,SoSOP 1,NA,2022-06-29 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_30
EMO BON RFormosa SO 220909 micro(1),EMOBON metagenome sediment sample from station RFormosa collected on 2022-09-09 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-09-09 00:00:00,RFormosa_So_220909,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,1,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-09-09 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_31
EMO BON RFormosa SO 220909 micro(2),EMOBON metagenome sediment sample from station RFormosa collected on 2022-09-09 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-09-09 00:00:00,RFormosa_So_220909,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,2,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-09-09 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2022-10-17 00:00:00,2022-10-26 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_RFormosa_So_32
EMO BON RFormosa SO 220909 micro(3),EMOBON metagenome sediment sample from station RFormosa collected on 2022-09-09 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-09-09 00:00:00,RFormosa_So_220909,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,3,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-09-09 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_33
EMO BON RFormosa SO 220909 micro(4),EMOBON metagenome sediment sample from station RFormosa collected on 2022-09-09 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-09-09 00:00:00,RFormosa_So_220909,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,4,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-09-09 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_34
EMO BON RFormosa SO 220909 blank,EMOBON metagenome sediment sample from station RFormosa collected on 2022-09-09 community collected micro,256318,metagenome,metagenome,NA,2022-09-09 00:00:00,RFormosa_So_220909,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,blank_1,NA,NA,NA,NA,SoSOP 1,NA,2022-09-09 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_35
EMO BON RFormosa SO 221021 micro(1),EMOBON metagenome sediment sample from station RFormosa collected on 2022-10-21 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-10-21 00:00:00,RFormosa_So_221021,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,1,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-10-21 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2023-06-19 00:00:00,2023-07-03 00:00:00,-70,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_36
EMO BON RFormosa SO 221021 micro(2),EMOBON metagenome sediment sample from station RFormosa collected on 2022-10-21 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-10-21 00:00:00,RFormosa_So_221021,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,2,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-10-21 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,N,5,2023-06-19 00:00:00,2023-07-03 00:00:00,-70,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_37
EMO BON RFormosa SO 221021 micro(3),EMOBON metagenome sediment sample from station RFormosa collected on 2022-10-21 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-10-21 00:00:00,RFormosa_So_221021,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,3,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-10-21 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_38
EMO BON RFormosa SO 221021 micro(4),EMOBON metagenome sediment sample from station RFormosa collected on 2022-10-21 community collected micro,412755,marine sediment metagenome,metagenome,lagoon [ENVO_00000038]; sediment [ENVO:00002007],2022-10-21 00:00:00,RFormosa_So_221021,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,4,NA,NA,0,PVC core D50mm,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",2022-10-21 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,5,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_39
EMO BON RFormosa SO 221021 blank,EMOBON metagenome sediment sample from station RFormosa collected on 2022-10-21 community collected micro,256318,metagenome,metagenome,NA,2022-10-21 00:00:00,RFormosa_So_221021,Bruno Louro,0000-0001-8164-581X,low_tide,micro,,blank_1,NA,NA,NA,NA,SoSOP 1,NA,2022-10-21 00:00:00,"Ed7, room 1.10, freezer #300387-118",-80,Bruno Louro,0000-0001-8164-581X,,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_RFormosa_So_40
